satisfaction_id,customer_id,product_type,product_id,product_name,rating,nps_score,would_recommend,usage_frequency,satisfaction_factors,review_date
SAT000001,C000001,card,CARD001,삼성 iD ALL 카드,5.0,10,True,high,"benefit,brand,convenience",43:39.9
SAT000002,C000002,card,CARD008,우리카드 7CORE,4.8,8,True,high,convenience,43:39.9
SAT000003,C000003,card,CARD008,우리카드 7CORE,4.8,8,True,high,benefit,43:39.9
SAT000004,C000003,card,CARD012,KB국민 WE:SH Daily 카드,4.3,9,True,high,"benefit,service,convenience",43:39.9
SAT000005,C000004,card,CARD004,현대카드 M,4.3,7,True,medium,benefit,43:39.9
SAT000006,C000004,card,CARD010,하나 1Q카드 Dalily BC,4.5,9,True,medium,convenience,43:39.9
SAT000007,C000005,card,CARD008,우리카드 7CORE,4.3,7,True,medium,benefit,43:39.9
SAT000008,C000005,card,CARD011,신한 Deep Making,4.5,10,True,medium,"convenience,service,brand",43:39.9
SAT000009,C000006,card,CARD003,신한 Deep Dream,4.8,9,True,high,brand,43:39.9
SAT000010,C000007,card,CARD005,NH채움 카드,4.5,9,True,medium,"service,benefit,brand",43:39.9
SAT000011,C000007,card,CARD008,우리카드 7CORE,4.8,9,True,medium,"brand,convenience,service",43:39.9
SAT000012,C000008,card,CARD010,하나 1Q카드 Dalily BC,4.8,8,True,high,convenience,43:39.9
SAT000013,C000009,card,CARD011,신한 Deep Making,4.3,7,True,high,"benefit,brand",43:39.9
SAT000014,C000010,card,CARD008,우리카드 7CORE,4.2,8,True,medium,"benefit,convenience",43:39.9
SAT000015,C000010,card,CARD010,하나 1Q카드 Dalily BC,4.4,7,True,medium,"service,benefit",43:39.9
SAT000016,C000011,card,CARD001,삼성 iD ALL 카드,4.8,8,True,high,"brand,service,benefit",43:39.9
SAT000017,C000012,card,CARD007,롯데 LOCA for shopping,4.8999999999999995,8,True,high,"benefit,service",43:39.9
SAT000018,C000013,card,CARD004,현대카드 M,4.2,7,True,medium,"service,brand",43:39.9
SAT000019,C000013,card,CARD008,우리카드 7CORE,4.1,8,True,medium,benefit,43:39.9
SAT000020,C000014,card,CARD004,현대카드 M,4.4,8,True,medium,convenience,43:39.9
SAT000021,C000014,card,CARD008,우리카드 7CORE,4.7,8,True,medium,"benefit,brand",43:39.9
SAT000022,C000015,card,CARD004,현대카드 M,4.3,9,True,medium,brand,43:39.9
SAT000023,C000015,card,CARD010,하나 1Q카드 Dalily BC,3.9,6,False,medium,"limited_benefit,complex",43:39.9
SAT000024,C000016,card,CARD001,삼성 iD ALL 카드,5.0,9,True,low,service,43:39.9
SAT000025,C000016,card,CARD002,KB국민 노리(NORI) 체크카드,4.6,8,True,medium,"convenience,service",43:39.9
SAT000026,C000017,card,CARD002,KB국민 노리(NORI) 체크카드,4.4,7,True,medium,"benefit,service",43:39.9
SAT000027,C000017,card,CARD012,KB국민 WE:SH Daily 카드,4.1,9,True,medium,"convenience,service,benefit",43:39.9
SAT000028,C000018,card,CARD002,KB국민 노리(NORI) 체크카드,4.6,9,True,high,brand,43:39.9
SAT000029,C000018,card,CARD010,하나 1Q카드 Dalily BC,4.8,8,True,high,"service,brand",43:39.9
SAT000030,C000019,card,CARD005,NH채움 카드,4.8,8,True,high,"convenience,service,brand",43:39.9
SAT000031,C000019,card,CARD012,KB국민 WE:SH Daily 카드,3.8,6,False,high,fee,43:39.9
SAT000032,C000020,card,CARD005,NH채움 카드,5.0,10,True,high,service,43:39.9
SAT000033,C000021,card,CARD005,NH채움 카드,5.0,10,True,high,"service,benefit",43:39.9
SAT000034,C000022,card,CARD001,삼성 iD ALL 카드,4.3,8,True,medium,service,43:39.9
SAT000035,C000022,card,CARD005,NH채움 카드,4.7,10,True,medium,brand,43:39.9
SAT000036,C000023,card,CARD012,KB국민 WE:SH Daily 카드,4.8,8,True,high,"brand,benefit",43:39.9
SAT000037,C000024,card,CARD007,롯데 LOCA for shopping,5.0,10,True,high,"convenience,benefit",43:39.9
SAT000038,C000025,card,CARD008,우리카드 7CORE,4.8999999999999995,10,True,high,"service,brand,convenience",43:39.9
SAT000039,C000026,card,CARD004,현대카드 M,4.1,9,True,medium,"brand,convenience,benefit",43:39.9
SAT000040,C000026,card,CARD011,신한 Deep Making,3.4,6,False,medium,complex,43:39.9
SAT000041,C000027,card,CARD010,하나 1Q카드 Dalily BC,4.5,10,True,high,"benefit,brand",43:39.9
SAT000042,C000028,card,CARD002,KB국민 노리(NORI) 체크카드,4.8,8,True,medium,convenience,43:39.9
SAT000043,C000028,card,CARD008,우리카드 7CORE,4.0,9,True,medium,"convenience,service,brand",43:39.9
SAT000044,C000029,card,CARD011,신한 Deep Making,4.7,10,True,high,"benefit,convenience,service",43:39.9
SAT000045,C000030,card,CARD007,롯데 LOCA for shopping,5.0,10,True,medium,"brand,service,convenience",43:39.9
SAT000046,C000030,card,CARD010,하나 1Q카드 Dalily BC,3.9,7,False,medium,complex,43:39.9
SAT000047,C000031,card,CARD005,NH채움 카드,4.5,9,True,medium,"benefit,service,convenience",43:39.9
SAT000048,C000031,card,CARD008,우리카드 7CORE,4.4,9,True,medium,"service,benefit,convenience",43:39.9
SAT000049,C000032,card,CARD010,하나 1Q카드 Dalily BC,4.5,8,True,high,"convenience,brand",43:39.9
SAT000050,C000033,card,CARD002,KB국민 노리(NORI) 체크카드,4.7,9,True,medium,service,43:39.9
SAT000051,C000033,card,CARD009,KB국민 청춘대로 톡톡카드,3.2,7,False,medium,complex,43:39.9
SAT000052,C000034,card,CARD005,NH채움 카드,4.7,9,True,high,service,43:39.9
SAT000053,C000035,card,CARD012,KB국민 WE:SH Daily 카드,4.3999999999999995,7,True,high,"convenience,benefit,brand",43:39.9
SAT000054,C000036,card,CARD012,KB국민 WE:SH Daily 카드,4.2,7,True,medium,benefit,43:39.9
SAT000055,C000037,card,CARD004,현대카드 M,4.7,10,True,high,"service,convenience,benefit",43:39.9
SAT000056,C000038,card,CARD008,우리카드 7CORE,4.2,9,True,medium,service,43:39.9
SAT000057,C000038,card,CARD011,신한 Deep Making,4.5,10,True,medium,"convenience,benefit",43:39.9
